>>L<<English	,>>L<<Chinese
STS model	,社会转变方案模型
STS Youth Inventory	,STS 少年量表
STT	,敏感试验
student	,学生
student activism	,学生激进活动
student learning	,学生的学习
student teacher	,实习教师
student teaching	,实习教学
students enrollment	,在校学生人数
students expectation	,学生期待
Students T Test	,学生T检验
studentteacher relationship	,师生关系 师生关
study	,研究
study habit	,学习习惯
study of consanguinity	,血缘关系研究
study of values	,价值观研究
studying earnestly and thinking carefully	,熟读精思
studytest method	,学习测验法
stun	,晕眩
stunning	,震耳欲聋
stunt	,发育迟缓
stupefaction	,昏迷
stupidity	,迟钝
stupor	,木僵
stuporous depression	,木僵型抑郁症
stuporous mania	,木僵型躁狂症
stuporous state	,木僵状态
stutterer	,口吃者
stuttering	,口吃
stuttering gait	,踌躇步态
style	,风格
style needs	,风格需要
style of leadership	,领导风格
style of life	,生活作风
style theory of leadership	,领导风格类型理论
stylistic test	,格调测验
stylus maze	,触棒迷宫
SU	,感觉单位
subacute	,亚急性
subacute delirium	,亚急性谵妄
subalimentation	,营养不足
subarachnoid space	,蛛网膜下隙
subception	,半知觉
subception	,阈下知觉
subclass	,子类
subclassification	,子分类
subconscious	,潜意识
subconscious personality	,下意识人格
subconscious process	,半意识过程
subconsciousness	,下意识状态
subcortex	,皮质下
subcortical alexia	,皮层下失读
subcortical center	,皮层下中枢
subcortical learning	,皮层下学习
subcortical neuron	,皮层下神经元
subcortical sensory aphasia	,皮层下感觉失语症
subcultural modeling	,亚文化模型
subculture	,亚文化
subcutaneous injection	,皮下注射
subdelirium	,情度谵妄
subdural hematoma	,硬脑膜下血肿
subfolium	,小脑小叶
subfornical organ	,穹窿下器官
subgoal	,亚目标
subgoal reinforcement	,亚目标强化
subgroup	,子群
subgroup norm	,子群常模
subiculum	,脑下脚
subject	,被试者
subject	,主题
subject data	,主观资料
subject ego	,主观自我
subject feeling	,主观感觉
subject loss	,被试者缺失
subject object	,主观对象
subject of development	,发展课题
subject organization	,主体组织
subject psychology	,学科心理学
subject test	,学科测验
subject variable	,被试者变量
subjective	,主观的
subjective assume	,主观臆断
subjective attribute	,主观属性
subjective bias	,主观偏误
subjective certitude	,主观确定性
subjective color	,主观色
subjective concept	,主观概念
subjective condition	,主观条件
subjective contour	,主观轮廓
subjective culture	,主观文化
subjective error	,主观误差
subjective estimate method	,主观估量法 主观估量法
subjective evidence	,主观明显性
subjective expectative utility	,主观期待效用
subjective experience	,主观经验
subjective factors	,主观因素
subjective forecast	,主观预测
subjective freedom	,主观的自由
subjective guess	,主观猜测
subjective idea	,主观理念
subjective inference	,主观推断
subjective initiative	,主观能动性
subjective item	,主观题
subjective judgment	,主观判断
subjective language	,主观语言
subjective level	,主观水平
subjective method	,主观方法
subjective mind	,主观精神
subjective moral judgment	,主观性道德判断
subjective morality	,主观的道德
subjective necessity	,主观必然性
subjective organization	,主观组织主观组织
subjective orientation	,主观取向
subjective potency	,主观潜能
subjective probability	,主观概率
subjective psychology	,主观心理学
subjective reality	,主观的实在
subjective scale	,主观量表
subjective scoring	,主观评分
systematic variance	,系统方差
systematization	,系统化
systematized delusion	,系统化妄想
systematology	,体系论
systemic embuyoloty	,系统胚胎学
systolic pressure	,收缩压
Szondi test	,斯左迪测验
Szondi Test	,臧氏投射测验
SOR	,刺激机体反应
SR	,刺激反应
SR bond theory	,刺激反应联结说 刺激反应联结说
SR bonds	,刺激反应结
SR laws	,刺激反应律
SR model	,刺激反应模式
SR psychology	,刺激反应心理学
SR relation	,刺激反应关系
SR theory	,刺激反应理论
SR theory of learning	,刺激反应学习理论
SRS model	,刺激反应刺激模式
SS connection	,刺激刺激联系
Ssleep	,慢波睡眠
T distribution	,T 分布
T group	,T 群体
T group	,训练小组
T maze	,T 形迷津
t of memory storage	,记忆容量有限说
T Scale	,T 量表
T score	,Ｔ 分数
T 适度实验设计	,T 适度实验设计 torch bearer
TA	,相互作用分析
tabacosis	,烟草中毒
tabacum	,烟草
tabagism	,烟草中毒
tabefaction	,病弱
tabes dorsalis	,脊髓痨
tabetic dementia	,脊髓痨痴呆
table	,表格
table lookat	,直接查表
table lookup	,查表
table lookup techniques	,查表技术
table making	,制表
table of absence	,缺乏表
table of contents	,目录
table of degree	,程度表
table of discovery	,发现表
table of frequency distribution	,次数分配表
table of induction	,归纳表
table of logarithm	,对数表
table of presence	,存在表
table of random number	,乱数表
table of random number	,随机数字表
table of social prediction	,社会预测表
taboo	,戒律
taboo	,禁忌
taboo of menstruation	,人身隔忌
taboo of personal isolation	,人身隔忌
tabophobia	,脊髓痨恐怖症
TABP	,A 型行为类型
tabula rasa	,白板
tabular analysis	,表格分析
tabular computation	,表格计算
tabular data	,表列数据
tabular display	,表列显示
tabular form	,表列形式
tabular information	,表列资料
tabular investigation	,表式调查
tabular presentation	,列表陈式
tabular statement	,列表说明
tabulate data	,汇总数据
tabulate statistics	,汇总统计
tabulate statistics data	,汇总统计数据
tabulation	,列表
tabulation of date	,资料列表
tache cerebrale	,脑病性划痕
tachistoscope	,速视器
tachistoscopic vision	,速示视觉
tachometer	,速示计
tachycardia	,心动过速
tachylalia	,急语症
tachymeter	,动速测量器
tachyphagia	,速食癖
tachyphrasia	,言语急速
tachyphrenia	,精神活动亢进
tachypnea	,呼吸过速
tachypragia	,动作过速
tachyrhythmia	,心搏过速
tacit	,缄默的
tacit cooperation	,配合默契
tacit knowledge	,隐含的知识
taciturn	,沉默寡言的
tackle	,解决
tact	,触觉
tactical adaptation of sports	,运动战术适应
tactical consciousness	,战术意识
tactical intention of sports	,运动战术意图 运动战术意图
tactical thinking	,战术思维
tactical training of sports	,运动战术训练 运动战术训练
tactics	,战术
tactile	,触觉的
tactile agnosia	,触觉失认症
tactile amnesia	,触觉缺失
tactile aphasia	,触觉性失语
tactile cell	,触觉细胞
tactile centre	,触觉中枢
tactile circle	,触觉圈
tactile coding	,触觉编码
tactile corpuscle	,触觉小体
tactile devices for the blind	,盲人用触觉器
tactile discrimination	,触觉辨别
tactile display	,触觉显示
tactile experience	,触觉经验
tactile hallucination	,触幻觉
tactile impression	,触觉印象
tactile organ	,触觉器官
tactile sensation	,触觉
tactile sense	,触觉
tactile sensibility	,可触知性
tactile space	,触空间
tactile stimulus	,触觉刺激
TactileSpatial Matchto Sample Test	,触觉空间样本配对测验
tactility	,触觉
taction	,触觉
tactless	,不老练的
tactometer	,触觉测量计
tactor	,触器
tactual	,触觉的
tactual discrimination	,触觉辨别
tactual display	,触觉显示
tactual displays	,触觉显示器
tactual illusion	,触错觉
tactual localization	,触觉定位
tactual perception	,触知觉
tactual reading	,触读
tactual sensation	,触觉
tactual space	,触觉空间
tactual stimulation	,触觉刺激
take a risk	,承担风险
take pretty surly	,变得乖戾
takehome test	,家课式测验
Talbots law	,塔尔波律
TalbotPlateau law	,塔尔波普拉托视觉律
tale	,传说
talent	,天才
talent and character	,才性
talent and intelligence	,才智
talent and learning	,才学
talent education	,才能教育
talent selection in sports	,运动选才
talented children	,才智儿童
talion	,报复
talk	,讲话
tolerance	,容忍
tolerance for ambiguity	,暧昧容忍力
tolerance for frustration	,挫折容忍力
tolerance limit	,耐性限度
tolerance style	,宽容型
tolerance test	,耐力测验
tolerance to cold	,耐寒性
tolerance to heat	,耐暑性
tolerance to low pressure	,耐低压性
tolerant	,容忍
toleration	,耐受性
toll	,代价
tomfool	,傻瓜
tonal deafness	,声调聋
tonal deafness	,音调判断不能
tonal discrimination	,听辨别
tonal fusion	,音融合
tonal gap	,音隙
tonal island	,音岛
tonal scale	,音阶
tonal sensation	,音觉
tonality	,音调性
tonaphasia	,乐歌不能
tonaphasia	,音调性失语症
tone	,音
tone brightness	,音亮度
tone color	,音色
tone deafness	,声调聋
tone island	,音岛
tone language	,音调语言
tone limit	,音域
tone quality	,音质
toneless	,缺乏声调的
tonetic	,声调的
tonedeaf	,不善辨别音高的
tongue	,口才
tongue	,舌头
tongueless	,缺乏说话能力的
tongueshy	,结结巴巴的
tonguetide	,发音不清的
tonic	,紧张的
tonic contraction	,紧张性收缩
tonic convulsion	,强直性抽搐
tonic discharge pattern	,紧张性放射类型紧张性放射类型
tonic effect	,紧张效应
tonic labyrinthine reflex	,迷路紧张反射迷路紧张反射
tonic neck reflex	,颈紧张反射
tonic neck reflex	,强直性颈部反射
tonic reflex	,强直反射
tonicity	,紧张性
tonicoclonic	,强直阵挛性的
tonicclonic seizure	,强直阵挛性发作
tonometer	,张力计
tonotopic localization	,音质定位
tonotopic organization	,音质分布组织
tonus	,肌肉紧张
tool	,工具
tool design	,工具设计
tool making	,工具制作
tool subject	,工具课程
toolusing ability	,使用工具能力
toolusing behavior	,运用工具行为
toolusing in animals	,动物的工具使用 动物的工具使用
tooth grinding	,磨牙
top level	,最高水平
top management	,高层管理
top secret data	,绝密资料
topagnosia	,环境认识不能
topagnosis	,触觉定位能力缺失
topalgia	,局部痛
tope	,狂饮
topectomy	,额叶皮层局部切除术
toper	,酒徒
topesthesia	,位置觉
topic	,主题
topoanesthesia	,位置觉缺失
topodysesthesia	,局部感觉迟钝
topognosis	,位置觉
topographic model	,位相模式
topographical disorientation	,地形定向障碍
topographical view	,地形观点
topography	,地形学
topoinhibition	,局部抑制
topological concept	,拓扑概念
topological group	,拓扑组
topological mnemonics	,位相记忆术
topological psychology	,拓扑心理学
topological space	,拓扑空间
topological structure	,拓扑结构
topology	,拓扑学
toponarcosis	,局部麻醉
topoparesthesia	,局部感觉异常
topothermesthesiometer	,局部温度觉测量器
topsyturn	,颠倒
topsyturviness	,颠倒混乱
topsyturvy	,颠倒
topsyturvydom	,颠倒状态
topdown approach	,由上而下取向
topdown processing	,自上而下加工
torment	,折磨
tormentor	,折磨者
torpid reaction	,迟钝反应
torpor	,迟钝
torpor retinae	,视网膜感觉迟钝
Torrance Test of Creative Thinking	,托兰斯创造思惟测验
torture	,折磨
TOT	,欲言难吐
total	,总计
total abstract	,整体抽象
total amnesia	,完全遗忘
total anosmia	,完全失嗅症
total aphasia	,完全失语
total assimilation	,完全同化
total blindness	,全盲
total body surface area	,全身表面积
total color blindness	,全色盲
total concept	,整体概念
total contribution	,总作用
total correlation	,全相关
total depravity	,性恶说
total deviation	,总偏差
total dissmilation	,完全异化
total employment	,总就业人数
total environment	,总体环境
total error	,总误差
total fertility	,总生育率
total impotence	,全然性无能
total pattern	,全体类型
total personality	,整体人格
total probability	,总概率
Total Quality Control	,全面质量控制
Total Quality Management	,全员质量管理
total response error	,总回答误差
total system	,整体系统
total unemployment	,总失业人数
totalitarianism	,极权主义
totality	,总体
totally unemployed person	,完全失业人数
totalpush therapy	,全面配合治疗法
TOTE	,测验操作反射弧
totem	,图腾
totem pole	,图腾柱
totemism	,图腾崇拜
totemist	,图腾制氏族成员
totipotentiality	,全能
touch	,触觉
touch blend	,触混合
touch corpuscle	,触觉小体
touch method	,接触法
touch organ	,触觉器官
touch pyramid	,触觉锥体
language of information	,信息语言
language performance	,语言表达
language pictorial display apparatus	,语图仪
language processor	,语言处理程序
language redundancy	,语言冗余度
language sense	,语感
language situation	,语境
language skill	,语言技能
language translation	,语言翻译
languageacquisition device	,语言获得装置
languageacquisition system	,获取语言系统
languagebehavior	,语言行为
languagedisordered children	,语言障碍儿童
languagegame	,语言游戏
languor	,倦怠
languor	,无力
LANNET	,大型人造神经网络
lantern	,幻灯
lantern slide	,幻灯片
lapse	,失误
lapse	,癫痫小发作
lapsus calami	,笔误
lapsus linguae	,失言
lapsus memoriae	,记错
larceny	,偷窃
larchkey children	,钥匙儿
large artificial nerve network	,大型人造神经网络
large group	,大群体
large group discussion method	,大组讨论法
large muscle motor skill	,大肌肉运动技能
large number of observation	,大量观察法
large sample	,大样本
largefordate infant	,L
	,largeforgestational age infant
largesample distribution	,大样本分布
largesample estimation	,大样本估计
largesample test	,大样本检验
largesample testing method	,大样本检验法
largescale experiment	,大规模试验
largescale survey	,大规模调查
largeunit method	,大单位法
larithmics	,人口学
larithmics	,种群增长因素学
larval development type	,幼体发育类型
larval masturbation	,隐蔽性手淫
laryngeal plexus	,喉神经丛
laryngeal tone	,喉音
laryngemphraxis	,喉阻塞
laryngendoscope	,喉内镜
laryngismus	,喉痉挛
laryngismus stridulus	,喘鸣性喉痉挛
laryngitis	,喉炎
laryngograph	,喉动描记器
laryngography	,喉描记术
laryngology	,喉科学
laryngoparalysis	,喉麻痹
laryngoscope	,喉镜
laryngoscopy	,喉镜检查
laryngospasmus	,喉痉挛
laryngostroboscope	,喉动态镜
laryngoxerosis	,喉干燥症
larynx	,喉
larynx sound source	,喉头原音
lascivia	,色情狂
Lasegues disease	,拉塞路病
Lasegues disease	,迫害狂
laser	,激光
laser irradiation	,激光照射
Lashley jumping box	,拉士利跳箱
Lashley jumping stand	,拉士利跳台
lassitude	,疲乏
latah	,谵妄症
late adolescence	,青春晚期
late bloomer	,成熟晚的人
late childhood	,童年晚期
late component of evoked potential	,诱发电位晚成分
late developer	,发育迟缓者
late maturer	,迟熟者
late receptor potential	,迟发感受器电位
late replicating	,延迟复制
late selection model	,晚期选择模型
latency	,潜伏状态
latency of response	,反应潜在能力
latency period	,潜伏期
latency stage	,潜伏阶段
latent	,潜伏的
latent class analysis	,潜伏组分析
latent class model	,潜在组模型
latent content	,潜性内容
latent defect	,潜在缺点
latent demand	,潜在要求
latent distance model	,潜在距离模型
latent dream	,潜性梦
latent dream content	,潜伏梦意
latent epilepsy	,隐性癫痫
latent extinction	,潜在消退
latent force	,潜力
latent homosexuality	,潜隐型同性恋
latent image	,潜象
latent learning	,潜伏学习
latent need	,潜性需求
latent of energy	,潜能
latent paranoia	,潜隐型偏执狂
latent period	,潜伏期
latent premise	,潜在前提
latent process	,潜在过程
latent psychosis	,隐性精神病
latent schizophrenia	,潜隐型精神分裂症
latent stage	,性欲潜伏期
latent structure analysis	,潜在结构分析
latent time	,潜伏时间
latent trait	,潜在特质
latent trait model	,潜在特质模型
latent trait theory	,潜在特质理论
latent unemployment	,潜在失业
lateral acceleration	,侧向加速度
lateral column	,侧柱
lateral dominance	,边利
lateral dominance	,一侧优势
lateral fissure	,外侧裂
lateral geniculate body	,外侧膝状体
lateral geniculate nucleus	,外侧膝状核
lateral horn	,侧角
lateral hypothalamus	,外侧下丘脑
lateral hypothalamus area	,外侧下丘脑区
lateral inhibition	,一侧抑制
lateral inhibition mechanism	,一侧抑制机制
lateral lemniscus	,外侧丘系
lateral masking	,边缘掩蔽
lateral nerve cord	,侧神经索
lateral olfactory tract	,外侧嗅束
lateral phototropism	,侧屈光性
lateral sulcus	,外侧沟
lateral symmetry	,两侧对称
lateral thinking	,水平思维
lateral transfer	,水平迁移
lateral ventricle	,侧脑室
lateral vestibulospinal tract	,外侧前庭脊髓束
laterality	,边利性
laterality	,一侧优势
laterality preference schedule	,利侧表
lateralization	,单侧化
lateralization of brain	,大脑机能一侧化
laterodeviation	,侧向偏斜
lateroposition	,偏侧变位
Latin square	,拉丁方
Latin square design	,拉丁方设计
Latin square experiment	,拉丁方实验法
Latin square stratification	,拉丁方分层
Latin square test	,拉丁方测验
lattice experimental design	,格点实验设计
lattice sampling	,格点抽样
latticegroup model	,格点群模式
laughter	,大笑
Laumoniers ganglion	,颈动脉神经节
LaurenceBiedl syndrome	,劳伦斯比德尔综合症
law	,定律
law	,规律
law and order orientation	,顺从权威取向
law of action and reaction	,作用与反作用定律
law of advantage	,优势法则
law of allornone	,全或无律
law of analogy	,类比律
law of assimilation	,同化律
law of association	,联想律
law of asymmetry	,不对称律
law of autonomicaffective	,自律情感性定律
law of avalanche	,爆发定律
law of avalanche	,雪崩定律
law of average	,平均法则
law of belongingness	,相属律
law of biogenetic mental	,心理生物发生律
law of causality	,因果律
law of causation	,因果律
law of chance	,机遇律
law of closure	,闭合法则
law of coexistence	,并存律
law of cognition	,认识规律
law of cohesion	,附着律
law of color mixture	,颜色混合律
law of color preference	,颜色偏爱法则
law of comparative judgment	,比较判断法则
law of compensation	,补尝法则
law of complementary colors	,补色律
law of conditioned	,条件律
law of conditioning relations	,条件关系律制约关律
law of contemporaneity	,同时性法则
law of contiguity	,时近律
law of continuity	,连续律
law of contradiction	,矛盾律
law of contraposition	,逆反律
law of contrast	,对比律
law of contrast innervation	,颉顽神经支配定律
law of denervation	,神经去除定律
law of development	,发展规律
law of developmental direction	,发展方向规律
law of difference	,差异律
law of diffusion	,扩散律
law of diminishing returns	,效果递减法则
law of disharmony	,不调和律
law of displacement	,位移律
law of disuse	,失用律
law of dominance	,显性定律
law of dominance	,优势定律
law of effect	,效果律
law of equality	,均等律
law of error	,误差律
law of exercise	,练习律
law of filial regression	,后裔归法则
law of fixation	,固着律
law of frequency	,频次律
law of good pattern	,良好模式律
law of good shape	,良形法则
law of great number	,大数法则
law of growth	,增长律
law of higher nervous activity	,高级神经活动规律
law of identical direction	,同向法则
law of identical visual direction	,同视向律
law of identity	,同一律
law of imitation	,模仿律
law of independent assortment	,独立分配律
law of individual variability	,个体变异定律
law of inertia	,惯性律
law of intermediary color	,中间色律
law of large numbers	,大数定律
law of learning	,学习律
law of limiting factor	,限制因素律
law of logarithmic	,对数定律
law of logarithmic function	,对数函数定律
law of mass action	,质量作用定律
law of motion	,运动定律
law of nature	,自然律
law of parsimony	,简约律
law of part activity	,部分活动法则
law of participation	,参与律
law of piecemeal activity	,片断活动律
law of possibility	,或然律
law of power function	,幂函数定律
law of Pragnanz	,趋完形律
law of precision	,精确律
law of pregnancy	,趋完满律
law of primacy	,初始法则
law of primacy	,首因律
law of prior entry	,先入律
law of probability	,概率律
law of progression	,渐进律
law of readiness	,准备律
law of recapitulation	,重演律
law of recency	,近因律
law of regeneration	,再生律
law of reinforcement	,强化律
law of repetition	,重复律
law of resemblance	,类似律
law of retrogression	,退行律
law of satisfaction	,满足律
law of shifting	,转移律
law of sign	,符号律
law of similarity	,类似律
law of similitude	,相似律
law of situation	,情境律
law of small numbers	,小数定律
law of somatopsychic development	,身心发展规律
law of specific energy of sensation	,感觉特殊能力说
law of specific senseenergy	,特殊感觉能力说
law of stimulus summation	,刺激加算法则
law of substitution	,代替律
law of symmetry	,对称性定律
law of tension	,紧张律
law of thought	,思维律
law of use	,使用律
law of vision	,视觉法则
law of vision angle	,视角法则
"law of “unity of opposites"""	,矛盾统一律
lawful age	,法定年龄
laws of Vibrate	,奥尔贝特法则
lawabiding psychology	,守法心理学
lay analyst	,非医科专业心理分析家
lay off	,解雇
layer of rods and cones	,网膜棒锥层
layer of structure	,结构层次
layoff rate	,解雇率
laziness	,懒惰
lazy sabotage	,怠工
LDG	,无领导讨论小组
LE	,职业介绍所
lead	,领先
lead lag control	,提前量控制
leader	,领导者
Leader Behavior Description Questionnaire	,领导者行为描述问卷
leader effectiveness	,领袖效率
Leader Opinion Questionnaire	,领导者意见问卷
Leader Reward and Punishment Questionnaire	,领导者奖惩问卷
leader status	,领导地位
leader style	,领导风格
leaderless discussion group	,无领导讨论小组
leadership behavior	,领导行为
Leadership Behavior Description Questionnaire	,领导行为详目问卷
leadership functions	,领导功能
Leadership Opinion Questionnaire	,领导意见问卷
leadership patterns	,领导模式
leadership skills	,领导技能
leadership style	,领袖风格
leadership training	,领导训练
leaders position	,领导的地位
leaderfollower relationship in animals	,动物首领与随从关系
leadermember exchange theory	,领导者成员交换理论
leadermember relations	,领导者与部下关系
leaderparticipation model	,领导参与模式
leading	,领导
leading eye	,主眼
leading question	,引导性问题
leading role	,主导作用
leading schedule	,主要表格
leading variable	,前项变量
leakage	,泄漏
leapfrog	,跳背游戏
leapfrog test	,跳步测验
learned behavior	,习得行为
learned fear	,学得的恐惧
learned goal	,习得目标
learned helplessness	,学得无助感
learned industriousness	,习得勤奋性
learned reinforcement	,学得性强化
learned response	,习得反应
learned specific hunger	,习得的特异性饥饿
learner	,学习者
learning	,学习
learning ability	,学习能力
learning activity	,学习活动
learning and maturation	,学习与成熟
Learning and Memory	,学习与记忆
Learning and Motivation	,学习与动机
learning assumption	,学习假设
learning by association	,联想学习
learning by contract	,合同学习
learning by doing	,从做中学
learning by imitation	,模仿学习
learning by insight	,顿悟学习
learning capacity	,学习能力
learning coefficient	,学习系数
learning collective	,学习集体
learning contrast	,学习对比
learning criterion	,学习准则
learning curve	,学习曲线
learning cycle	,学习周期
learning difficulty	,学习困难
learning dilemma	,学习困境
learning disability	,学习不能
learning disturbance	,学习障碍
learning drive	,学习内驱力
learning effect	,学习效果
learning efficiency	,学习效率
Learning Environment Inventory	,学习环境调查表
learning evaluation	,学习评价
learning function	,学习函数
learning goals	,学习目的
learning guide	,学习指导
learning hierarchy	,学习层次
learning how to think	,学会学习
learning in attitudeformation	,态度形成学习
learning in invertebrate	,无脊椎动物的学习
learning incentive	,学习的诱因
learning initiative	,学习积极性
learning interest	,学习兴趣
learning method	,学习方法
learning model	,学习模式
learning motivation	,学习动机
learning of evaluation	,学习评价
learning of learn	,学会学习
learning of problem solving	,解决问题的学习
learning of structure	,构造学习
learning organization	,学习型组织
learning outcome	,学习结果
learning plateau	,学习高原
Learning Potential Assessment Device	,学习潜能测定法
learning procedure	,学习程序
learning process	,学习过程
learning psychology	,学习心理学
learning readiness	,学习准备
learning retention	,学习记忆保持
learning sequence	,学习顺序
learning set	,学习定势
learning simulation	,学习模拟
learning situation	,学习情景
learning strategy	,学习策略
learning style	,学习类型
learning target	,学习目标
learning theory	,学习理论
learning therapy	,学习治疗
learning through insight	,顿悟学习法
learning through living	,从生活中学习
learning through trial and error	,尝试错误学习
learning to learn	,学会学习
learning to master	,掌握学习
learning track	,学习途径
learning transfer	,学习迁移
learning types	,学习类型
learning with alteration problem	,交替问题学习
learning with discrimination versa problem	,辨别颠倒学习
learning with oddity problem	,奇偶问题学习
learning with wholehearted devotion	,专心致志
learning without responding	,无反应的学习
Leary Interpersonal Check List	,利里人际检核表
least absolute error	,最小绝对误差
least absolute value	,最小绝对值
least action	,最小作用量
least effort principle	,最省力原则
least energy	,最小能量
least energy principle	,省能原则
least error	,最小误差
least perceptible difference	,最小可觉差 最小可觉差
least perceptible duration	,最短可觉时间 最短可觉时间
Least Preference CoWorker Scale	,最不喜欢的共事者量表
least preferred coworker	,最差同事
least preferred coworker questionnaire	,最难共事者问卷
least preferred coworker scores	,最差同事得点
least significant difference	,最低显著性差异
least square	,最小平方
least square analysis	,最小平方分析
least square equations	,最小平方方程
least square estimation	,最小平方估计
least square method	,最小平方法
least square normal equation	,最小平方常规方程
least square principle	,最小平方原理
least square solution	,最小平方解
least waist circumference	,最小腰围
leaving method	,留置调查法
leaving the field	,逃避现实
Lebers congenital amaurosis	,勒伯尔先天性黑蒙
Lebers disease	,勒伯尔病
Lebers optic atrophy	,勒伯尔神经萎缩
lecture	,演讲
lecture method	,演讲法
LeeBoot effect	,李布特效应
LeeClark Reading Readiness Test	,李克二氏阅读具备测验
left handedness	,左利手
left hemisphere	,左半球
left visual acuity	,左视敏度
leftbrain dominance	,左脑优势
leftbrained	,左脑性的
lefteared	,善用左耳的
lefteyed	,善用左眼的
lefthand dominance	,左手优势
lefthandedness	,左利手
lefthander	,左撇子
leg	,腿
leg length	,小腿长
leg of preferential side	,利腿
leg skill	,腿部技能
leg strength	,腿力
legal authority	,法定权威
legal consciousness	,法律意识
legal guarantee	,法律保证
legal liability	,法律责任
legal prevention	,法律预防
legal psychology	,法律心理学
Legal Psychology	,法制心理
legal regulation	,法律条例
legal responsibility	,法律责任
legal rights	,法定权力
legal sanction	,法律制裁
legal separation	,合法分居
legal time	,合法时间
legal validity	,法律效力
legibility	,易读性
legibility	,字迹清晰性
legibility of display	,显示易读性
legislative psychology	,立法心理学
legitimacy	,合法性
legitimacy	,正统性
legitimate birth rate	,合法出生率
legitimate claim	,合法要求
legitimate inference	,合理推断
legitimate political behavior	,合法政治行为
legitimate power	,合法权力
Leichtensterns encephalitis	,出血性脑炎
Leichtensterns sign	,莱希敦斯坦症
leipopsychia	,失神
Leipzig laboratory	,莱比锡实验室
leisure	,闲暇
leisure time	,休闲时间
Leiter Adult Intelligence Scale	,利特成人智力量表
Leiter International Performance Scale	,雷特国际通用操作量表
Lek display	,列克展示
lemniscal pathway	,丘索通路
lemniscus	,丘系
length and area estimation apparatus	,长度和面积估计器
length conservation	,长度守恒
length illusion	,长度错觉
length of upper extremity	,上肢长
length of working cycle	,工作周期
leniency effect	,仁慈效应
leniency error	,宽容评价误差
Lennox syndrome	,雷诺克斯综合症
lens	,水晶体
lens model	,水晶体模式
lenticonus	,圆锥形晶状体
lenticular	,晶状体的
lenticular aphasia	,豆状核性失语
lenticular astigmatism	,晶状体性散光
lenticular nucleus	,晶状体核
lenticular stereoscope	,透镜式实体镜
lentiform nucleus	,豆状核
lentiglobus	,球形晶状体
lentitis	,晶状体炎
lentoid	,透镜状结构
leptocephalia	,狭长头畸形
leptokurtic	,尖峰的
leptokurtic distribution	,高狭峰分配
leptophonia	,声弱
leptosome	,瘦弱型
Lerchs percussion	,落槌叩诊
lerema	,儿稚样言语
leresis	,冗谈
Lermoyezs syndrome	,莱尔马耶综合症
lesbian	,女性同性恋
lesbianism	,女性同性恋
LeschNyhan syndrome	,李乃氏综合症
lesion	,病变
lesion	,损伤
Leter International Performance Scale	,雷特国际操作量表
lethal	,致命的
lethal catatonia	,致命性紧张症
lethal factor	,致死因素
lethargic	,昏睡的
lethargy	,嗜睡症
lethargy by inducing	,诱导性迷睡
letheomania	,麻醉药癖
letheral	,记忆缺失的
lethologica	,词性遗忘
letter	,字母
letter code	,字母代码
letter string	,字母串
lettersequence	,词序
leucine	,白氨酸
leucitis	,巩膜炎
leucotomy	,脑白质切除术
Leudets tinnitus	,勒代耳鸣
leukaemia	,白血病
leukencephalitis	,脑白质炎
leukodystrophy	,脑白质营养不良
leukoecephalopathy	,脑白质病
leukoma	,角膜白斑
leukoscope	,色光光度计
leukotomy	,脑白质切除术
leukoencephalitis	,脑白质炎
levator	,提肌
level	,层次
level	,水平
level I ability	,第一层能力
level II ability	,第二层能力
level indicator	,水平仪
level of ability	,能力水平
level of abstraction	,抽象程度
level of achievement	,成就水平
level of activation	,活动水平
level of aggregation	,综合水平
level of anticipation	,预期层次
level of aspiration	,抱负水平
level of aspiration	,志趣水平
level of confidence	,信心程度
level of consciousness	,意识水平
level of development	,发展水平
level of intelligence	,智力水平
level of living	,生活水平
level of modernization	,现代化水平
level of operation	,作业水平
level of optimization	,最优化水平
level of processing	,加工水平
level of processing hypothesis	,加工水平说
level of significance	,显著性水平
level of significance test	,显著性检验水平
leveling	,平抑作用
leveling style	,平稳型
levels of processing theory	,处理层次论
levels of processing theory of memory	,记忆加工层次论
levelofprocessing model	,加工水平模型
levophobia	,左位恐怖症
Lewins personality theory	,勒温个性理论
lexical	,词汇
lexical access	,词汇接触
lexical memory	,字汇记忆
lexicology	,词汇学
LGN	,外侧膝状核
LH	,黄体生长激素
LH	,外侧下丘脑 外侧下视丘
LHA	,外侧下丘脑区
LHRF	,黄体生成素释放因子
liability	,责任
liaisons	,联络人
libel	,诽谤
liberal education	,文科教育
liberomotor	,随意运动的
liberty	,意志自由
libidinal object	,力对象
libidinal phases	,欲力期
libidinal transference	,力转移
libidinal type	,欲力类型
libido analog	,欲力取代
libido fixation	,力比多固着
license	,证书
Lichtheims aphasia	,利希海姆氏失语症
Lichtheims plaque	,利希海姆斑
Lichtheims test	,利希海姆测验
lie	,说谎
lie confession	,谎供
lie detector	,测谎器
lie scale	,测谎量表
Liepmanns apraxia	,利普曼氏运用不能
Liepmanns effect	,利普曼效应
life	,生命
life age	,生命年龄
life change units	,生活变化单位
life curve	,生命曲线
life cycle	,生命周期
life cycle analysis	,生命周期分析
life cycle of commodities	,商品生命周期
life cycle theory of leadership	,领导的生命周期理论
life event scale	,生活事件量表
life expectancy	,预期寿命
life experience	,生活经验
life force	,生命力
life goal	,生活目标
